Period,Mean_Return,Variance,Target_Return
18,-0.0551685,0.458744,0.075
19,-0.221658,0.745898,0.075
20,-0.0166799,0.326429,0.075
21,0.109712,0.975567,0.075
22,-0.0402914,0.130674,0.075
23,-0.174971,0.129817,0.075
24,-0.0346561,0.0824803,0.075
25,-0.00453196,0.0793886,0.075
26,0.0165492,0.0467788,0.075
27,-0.0580455,0.0526347,0.075
28,-0.0784337,0.0236293,0.075
29,0.0130981,0.0274778,0.075
30,-0.0809079,0.0436451,0.075
31,0.0141352,0.0980414,0.075
32,-0.129493,0.195954,0.075
33,0.126222,0.0585701,0.075
34,0.0779739,0.0940521,0.075
35,0.082374,0.0266031,0.075
36,-0.0608382,0.0225883,0.075
37,0.0123642,0.0314311,0.075
38,0.0703319,0.0750655,0.075
39,-0.0475949,0.094945,0.075
40,0.0107249,0.0485595,0.075
41,0.0712032,0.0294788,0.075
42,0.147038,0.0308124,0.075
43,0.0256332,0.0937903,0.075
44,-0.0178133,0.0487214,0.075
45,0.056777,0.0507387,0.075
46,0.0595389,0.0398814,0.075
47,-0.166346,0.0980285,0.075
48,0.0146521,0.0555539,0.075
49,0.0364236,0.114542,0.075
50,0.056695,0.0870167,0.075

1,0.116561,0.0422407,0.08
2,-0.0261751,0.0451898,0.08
3,-0.0290406,0.0253729,0.08
4,0.0187103,0.0666415,0.08
5,0.133653,0.0694152,0.08
6,0.113989,0.11997,0.08
7,-0.011214,0.066879,0.08
8,-0.00697259,0.148783,0.08
9,-0.071087,0.0955273,0.08
10,-0.0225629,0.0800473,0.08
11,0.150877,0.174381,0.08
12,0.0090972,0.246947,0.08
13,-0.116199,0.0900603,0.08
14,0.083272,0.0858814,0.08
15,0.0935851,0.103795,0.08
16,0.0315872,0.0787825,0.08
17,0.0181351,0.142982,0.08
18,-0.0581038,0.516835,0.08
19,-0.236903,0.837209,0.08
20,-0.0142684,0.372437,0.08
21,0.122303,1.11977,0.08
22,-0.0433541,0.148992,0.08
23,-0.186033,0.145685,0.08
24,-0.0386194,0.0946295,0.08
25,-0.00422261,0.0931012,0.08
26,0.0175299,0.0527722,0.08
27,-0.0632346,0.0621265,0.08
28,-0.0832785,0.0268109,0.08
29,0.0139339,0.0316511,0.08
30,-0.0868481,0.0496562,0.08
31,0.00718037,0.118564,0.08
32,-0.137955,0.222284,0.08
33,0.134776,0.0668444,0.08
34,0.083333,0.10642,0.08
35,0.0873625,0.0301441,0.08
36,-0.0650486,0.0258006,0.08
37,0.0138303,0.0358936,0.08
38,0.0744142,0.0850889,0.08
39,-0.0507823,0.107821,0.08
40,0.0111865,0.0548711,0.08
41,0.0754265,0.0334452,0.08
42,0.156968,0.0351061,0.08
43,0.026746,0.106532,0.08
44,-0.0192873,0.0554855,0.08
45,0.0596574,0.0570476,0.08
46,0.0621436,0.0451405,0.08
47,-0.14826,0.116881,0.08
48,0.0157197,0.0618236,0.08
49,0.0396106,0.130943,0.08
50,0.0595265,0.0985558,0.08

1,0.123408,0.0452299,0.085
2,-0.0286169,0.0504475,0.085
3,-0.0316498,0.0296759,0.085
4,0.0200328,0.0761861,0.085
5,0.138175,0.0756228,0.085
6,0.121646,0.13563,0.085
7,-0.0124428,0.0764215,0.085
8,-0.0070215,0.167037,0.085
9,-0.0772217,0.10897,0.085
10,-0.0244849,0.0906201,0.085
11,0.156241,0.190737,0.085
12,0.00955957,0.27866,0.085
13,-0.123789,0.101237,0.085
14,0.0869465,0.0962659,0.085
15,0.100364,0.114952,0.085
16,0.0352195,0.0871396,0.085
17,0.0192965,0.16094,0.085
18,-0.0623085,0.582493,0.085
19,-0.25221,0.92381,0.085
20,-0.0216444,0.401216,0.085
21,0.122007,1.26864,0.085
22,-0.0461996,0.168512,0.085
23,-0.198324,0.164798,0.085
24,-0.0412136,0.106219,0.085
25,-0.00422321,0.104843,0.085
26,0.0184252,0.0592,0.085
27,-0.0665661,0.069455,0.085
28,-0.0882786,0.030166,0.085
29,0.0147709,0.0361259,0.085
30,-0.0891274,0.0556647,0.085
31,0.00708252,0.13411,0.085
32,-0.146633,0.250035,0.085
33,0.143855,0.0750453,0.085
34,0.0895229,0.119339,0.085
35,0.0926877,0.0336306,0.085
36,-0.0694987,0.0292775,0.085
37,0.0151912,0.0403748,0.085
38,0.0763774,0.0936086,0.085
39,-0.0522741,0.121461,0.085
40,0.0118419,0.0615351,0.085
41,0.137863,0.129146,0.085
42,0.166629,0.0397279,0.085
43,0.0291693,0.120029,0.085
44,-0.0209537,0.062763,0.085
45,0.0647601,0.0654734,0.085
46,0.0684541,0.0516551,0.085
47,-0.18767,0.124418,0.085
48,0.0163043,0.0712206,0.085
49,0.0412383,0.147747,0.085
50,0.063156,0.110615,0.085

1,0.131205,0.0530295,0.09
2,-0.0311904,0.0546109,0.09
3,-0.0343412,0.0339565,0.09
4,0.0210474,0.0861716,0.09
5,0.149172,0.0880472,0.09
6,0.129695,0.154072,0.09
7,-0.0124442,0.0860326,0.09
8,-0.00642994,0.185617,0.09
9,-0.0825801,0.123396,0.09
10,-0.0265077,0.102068,0.09
11,0.168274,0.218833,0.09
12,0.0106207,0.313197,0.09
13,-0.131064,0.113059,0.09
14,0.0936337,0.107582,0.09
15,0.10485,0.13137,0.09
16,0.0333107,0.102326,0.09
17,0.0197372,0.180631,0.09
18,-0.0662118,0.654443,0.09
19,-0.26818,1.04493,0.09
20,-0.0227567,0.444656,0.09
21,0.145483,1.43687,0.09
22,-0.049027,0.189791,0.09
23,-0.210942,0.185677,0.09
24,-0.0434493,0.118157,0.09
25,-0.00414972,0.113646,0.09
26,0.019491,0.0658354,0.09
27,-0.0698011,0.0769634,0.09
28,-0.093106,0.0337793,0.09
29,0.0156119,0.0409018,0.09
30,-0.0985719,0.0624564,0.09
31,0.00688059,0.152057,0.09
32,-0.154883,0.279996,0.09
33,0.153559,0.0855341,0.09
34,0.0943784,0.133361,0.09
35,0.0978082,0.0374705,0.09
36,-0.0736896,0.0328939,0.09
37,0.0166489,0.0455895,0.09
38,0.08242,0.106844,0.09
39,-0.0551474,0.136094,0.09
40,0.0112736,0.0698795,0.09
41,0.085462,0.0420918,0.09
42,0.175677,0.0449857,0.09
43,0.0326143,0.133948,0.09
44,-0.0232168,0.0703195,0.09
45,0.0685505,0.0734039,0.09
46,0.0709913,0.0578268,0.09
47,-0.198503,0.140116,0.09
48,0.0171558,0.0789977,0.09
49,0.0436431,0.166395,0.09
50,0.0668613,0.1235,0.09

1,0.13791,0.0559756,0.095
2,-0.0324443,0.0638888,0.095
3,-0.0367727,0.0378683,0.095
4,0.0217198,0.0961386,0.095
5,0.155557,0.0969828,0.095
6,0.137455,0.172118,0.095
7,-0.0145004,0.0968258,0.095
8,-0.00823046,0.208001,0.095
9,-0.0880329,0.138642,0.095
10,-0.0277421,0.111483,0.095
11,0.178183,0.245832,0.095
12,0.0127132,0.351374,0.095
13,-0.140845,0.125952,0.095
14,0.0948798,0.119071,0.095
15,0.110436,0.146301,0.095
16,0.0356386,0.112516,0.095
17,0.0214946,0.200701,0.095
18,-0.0701394,0.728168,0.095
19,-0.283524,1.17105,0.095
20,-0.0237735,0.489156,0.095
21,0.157681,1.61513,0.095
22,-0.0518045,0.212668,0.095
23,-0.222908,0.207036,0.095
24,-0.046058,0.131036,0.095
25,-0.00454474,0.123402,0.095
26,0.0217166,0.0729584,0.095
27,-0.0733357,0.0851638,0.095
28,-0.0979699,0.037543,0.095
29,0.0161307,0.0456996,0.095
30,-0.104451,0.0695412,0.095
31,0.00686785,0.168053,0.095
32,-0.163339,0.311268,0.095
33,0.161788,0.0942887,0.095
34,0.0995096,0.147973,0.095
35,0.103048,0.0414683,0.095
36,-0.0773983,0.036834,0.095
37,0.0180652,0.0506288,0.095
38,0.0863256,0.118443,0.095
39,-0.0577314,0.151501,0.095
40,0.0115686,0.0776016,0.095
41,0.0900488,0.046831,0.095
42,0.18569,0.0501669,0.095
43,0.0317561,0.149502,0.095
44,-0.0245011,0.0786916,0.095
45,0.0702787,0.0795152,0.095
46,0.0764595,0.0649178,0.095
47,-0.211231,0.158047,0.095
48,0.0178516,0.0875387,0.095
49,0.0464883,0.185264,0.095
50,0.0701275,0.137229,0.095

1,0.145126,0.0608678,0.1
2,-0.0348075,0.0709341,0.1
3,-0.0394672,0.0422825,0.1
4,0.0230508,0.107748,0.1
5,0.164685,0.108939,0.1
6,0.145209,0.190741,0.1
7,-0.0136456,0.107546,0.1
8,-0.00676165,0.227772,0.1
9,-0.0938939,0.154715,0.1
10,-0.0301555,0.122768,0.1
11,0.186515,0.269748,0.1
12,0.0130957,0.389857,0.1
13,-0.148266,0.139103,0.1
14,0.10504,0.131565,0.1
15,0.116467,0.16292,0.1
16,0.0366261,0.126697,0.1
17,0.02182,0.222487,0.1
18,-0.0759177,0.805572,0.1
19,-0.299271,1.28422,0.1
20,-0.0200019,0.550918,0.1
21,0.158261,1.78873,0.1
22,-0.0548538,0.235466,0.1
23,-0.23498,0.229755,0.1
24,-0.0485233,0.144643,0.1
25,-0.00516916,0.127806,0.1
26,0.0213278,0.0804262,0.1
27,-0.0762928,0.0933668,0.1
28,-0.102723,0.0416325,0.1
29,0.0172554,0.0512432,0.1
30,-0.110329,0.078207,0.1
31,0.00726677,0.185672,0.1
32,-0.171389,0.344426,0.1
33,0.170826,0.103582,0.1
34,0.104921,0.163431,0.1
35,0.108641,0.0455383,0.1
36,-0.0818929,0.0408612,0.1
37,0.0194577,0.0562187,0.1
38,0.0904099,0.130859,0.1
39,-0.0612612,0.167581,0.1
40,0.0116069,0.0863053,0.1
41,0.0938208,0.0519376,0.1
42,0.1933,0.0564403,0.1
43,0.0352013,0.165033,0.1
44,-0.0262632,0.087148,0.1
45,0.0823282,0.103785,0.1
46,0.0768885,0.0713213,0.1
47,-0.224936,0.177688,0.1
48,0.0185312,0.0980545,0.1
49,0.0486676,0.206055,0.1
50,0.0733991,0.151586,0.1

